ORDEN;FECHA COMPRA;CANTIDAD;CODIGO;DETALLE;COMPRA;DIVIDIDO
121;01/01/2025;0;779812557267;779812557267 - PELOTITAS CHICAS MULTICOLOR RAYADA ROTTI x36;1964,44;36
122;01/01/2025;0;000000007036;000000007036 - PEINETON PATRIO GRANDE STASIO x6u. 7036 DAMA ANTIGUA;1919,39;6
123;01/01/2025;0;779040001858;779040001858 - PEGAMENTO UNIPOXx25mlx6;7910,23;6
124;23/10/2025;2;779834071048;779834071048 - PASTILLA LUCKY 8 MULTICOLOR x385grs. x1  1001;2398,94;1
125;23/10/2025;1;779816751012;779816751012 - PASTA CODELAND PARA RELLENO MOUSSE x500grs 53405;4145,81;1
126;23/10/2025;1;779816751013;779816751013 - PASTA CODELAND PARA RELLENO FRUTOS DEL BOSQUE x500grs 53505;3758,72;1
127;01/01/2025;0;237187607002;237187607002 - PARCHE PIRATA PLASTICO x36 7002;5569,56;36
128;23/10/2025;1;000000046403;000000046403 - PAPEL PICADO METAL x3kg;3948;3
129;01/01/2025;0;000000032033;000000032033 - PAPEL PICADO METAL (PACK 5x1kg);5745,75;5
130;01/01/2025;0;000000014821;000000014821 - PAPEL PICADO 50 grs PACK x10;2397;10
131;01/01/2025;0;000000300160;000000300160 - PALITO PARA CHUPETIN 1/2kg CRISTAL 15cm STASIO (460 u.aprox);7203,24;460
132;01/01/2025;0;790100000001;790100000001 - PALITO HELADO NATURAL CHICO 11cm C.B.X x50;622,08;1
133;01/01/2025;0;200020234357;200020234357 - PALITO HELADO MULTICOLOR 11cm  x50 S34357/MO1A;508,81;1
134;01/01/2025;0;779814797957;779814797957 - PALITO BROCHETTE  20cm PS (PAQUETE 10 x100 u.APROX.)PA20100;6822,6;10
135;01/01/2025;0;000003500327;000003500327 - OLLA DE BRUJA GRANDE STASIO x5 HC0006;15750,64;5
136;23/10/2025;1;779804703054;779804703054 - NIEVE CARNAVAL NASHVILLE 370ml x12u.;16125;12
137;01/01/2025;0;202400898332;202400898332 - ;;
138;01/01/2025;0;000000033318;000000033318 - NARIZ BRUJA PLASTICA x6;1603,8;6
139;01/01/2025;0;779908804156;779908804156 - ;;
140;01/01/2025;0;000000036557;000000036557 - MOÑO PARA AUTO DECORATIVO x1 BLANCO;9315;1
141;01/01/2025;0;000000021770;000000021770 - MOÑO CABALLERO/MAGO NEGRO DE TELA x5;3064,5;5
142;01/01/2025;0;000000007106;000000007106 - MOLDECITO COLOR FANTASIA STASIO x24u. 7106;1540,76;24
143;01/01/2025;0;000000038828;000000038828 - MOLDE TORTERA ALUMINIO INDIVIDUAL ALT.10 cm. Nº18 COOPER x1;6952,66;1
144;01/01/2025;0;000000038492;000000038492 - MOLDE TORTERA ALUMINIO INDIVIDUAL ALT.10 cm. Nº16 COOPER x1;6592,44;1
145;01/01/2025;0;000000057595;000000057595 - MOLDE SILICONA 6 DONAS LISAS 6cm x5 BM0195;11117,16;1
146;01/01/2025;0;699555000002;699555000002 - MOLDE SILICONA 12 CUPCAKES x6 H27-008A30;19768,33;1
147;01/01/2025;0;000000000993;000000000993 - MOLDE HOJALATA REDONDO ALTURA 10 18cm x1;7905,73;1
148;01/01/2025;0;000000051885;000000051885 - MOLDE BUDIN HORNAL R8/B60 1/2kg x50 AF;5266,14;50
149;01/01/2025;0;000000051884;000000051884 - MOLDE BUDIN HORNAL R4 1kg x50 AF;12299,82;50
150;01/01/2025;0;000000051883;000000051883 - MOLDE BUDIN HORNAL MINI R9 x50 AF;4172,82;50
151;01/01/2025;0;000000002932;000000002932 - MOLDE ALUMINIO ESCUDO FUTBOL;9450,26;1
152;01/01/2025;0;000000009519;000000009519 - MISAL PORTA ESTAMPA COMUNION 3033;1677,2;1
153;01/01/2025;0;000005007131;000005007131 - MINIATURA SURTIDA STASIO ECONOMICA x50u. (PACKx5) 7131;6739;5
154;23/10/2025;1;000005007130;000005007130 - MINIATURA SURTIDA STASIO ECONOMICA x100u. (PACKx5) 7130;11140,99;5
155;01/01/2025;0;000000020379;000000020379 - MINIATURA SURTIDA PREFA-PLASTx100 (PACKx5);11238,48;5
156;01/01/2025;0;000000005065;000000005065 - MINIATURA SURTIDA PREFA-PLAST x1000 (aprox.);20625,3;5
157;23/10/2025;1;779810046399;779810046399 - MICRO GOTAS MAPSA SEMIAMARGO x500grs 58-60;3786,93;5
158;23/10/2025;1;779810046405;779810046405 - MICRO GOTAS MAPSA BLANCA x500grs 58-65;3786,93;5
159;23/10/2025;2;779810512603;779810512603 - MERENGUE LISTO LEDEVIT x250gr;2073,56;1
160;01/01/2025;0;779908802721;779908802721 - MEDIAS BUCANERAS NEGRA RED ROMBOS x1 TM010/02721 PS;2205,7;1
161;23/10/2025;2;237187603021;237187603021 - MEDIA MASCARA MUJER DIABLITA PLASTICO  x6 3021;2610,63;6
162;23/10/2025;1;000000007000;000000007000 - MATRACA ECONOMICA STASIO x12u. 7000 (Colores surtidos);1888,11;12
163;01/01/2025;0;000000025214;000000025214 - MASCARA GOMA EVA HALLOWEEN SCREAM x1 2434;1830,27;1
164;01/01/2025;0;000000016318;000000016318 - MARACA ZANAHORIA GIGANTE x6u.;2574;6
165;01/01/2025;0;803410700250;803410700250 - ;;
166;01/01/2025;0;000000020368;000000020368 - MARACA CELESTE Y BLANCA x50u.;10010,25;50
167;23/10/2025;2;779830177346;779830177346 - MAQUILLAJE ARTISTICO EN BARRA LABIAL HALLOWEEN x3 PINTAFAN 79101;2481,54;3
168;23/10/2025;3;779810869871;779810869871 - MAQUILLAJE ARTISTICO COLOR ROJOx2 (13-19) PACK X 3;2784,78;6
169;23/10/2025;2;779810869868;779810869868 - MAQUILLAJE ARTISTICO COLOR NEGRO (MORENITO) x2 (13-17) PACK X3;2784,78;6
170;23/10/2025;3;779810869870;779810869870 - MAQUILLAJE ARTISTICO COLOR BLANCOx2 (13-18) PACK X 3;2784,78;6
171;01/01/2025;0;000000019005;000000019005 - MANTILLA DAMA ANTIGUA BLANCA x4;4158;4
172;01/01/2025;0;000000018251;000000018251 - MANTEL PLASTICO RECTANGULAR EXTRA LARGO AZUL (1,20x3,60mtr) x5u.;5936,29;5
173;23/10/2025;1;779909000134;779909000134 - MANTEL FISELINA RECTANGULAR ROSA PASTEL 1,20x1,80mtr) x3 CREACIONES TRIES;6382,03;3
174;23/10/2025;1;779909000020;779909000020 - MANTEL FISELINA RECTANGULAR FUCSIA (1,20x1,80mtr) x3 1813 CREACIONES TRIES;6382,03;3
175;01/01/2025;0;779909000016;779909000016 - MANTEL FISELINA RECTANGULAR AMARILLO (1,20x1,80mtr) x3  1809 CREACIONES TRIES;6382,03;3
176;01/01/2025;0;779813465938;779813465938 - MANTEL COMUNION CALIZ CON MANDALA x1 GM;1645,31;1
177;23/10/2025;1;779817880065;779817880065 - MALVAVISCO BUFFYS TWISTER FRUTAL x200grs. 651;2359,27;1
178;23/10/2025;1;779817880077;779817880077 - MALVAVISCO BUFFYS TWISTER FRESAS x200grs. 774;2359,27;1
179;23/10/2025;1;779813634082;779813634082 - LENTEJA DE CHOCOLATE CHOCOLART x500g. 793;6500,25;5
180;23/10/2025;2;000000034308;000000034308 - JUGADORES CON ARCO RIVER x5u. M;2594,7;1
181;23/10/2025;2;000000034307;000000034307 - JUGADORES CON ARCO BOCA x5u. M;2594,7;1
